,o1,o2,>,<,typical
0,flag,skier,325,1125,<
1,sandwich,plastic,197,44,>
2,logo,skirt,24,139,<
3,blanket,horse,272,1485,<
4,display,key,100,5,>
5,couple,box,89,22,>
6,spoon,dessert,70,389,<
7,finger,computer,14,93,<
8,trim,bike,28,99,<
9,pillar,surfer,20,99,<
10,branch,cap,93,36,>
11,letter,doll,9,122,<
12,towel,apron,19,170,<
13,television,switch,193,1,>
14,portion,guy,27,75,<
15,rabbit,cake,24,110,<
16,person,t-shirt,29,114,<
17,table,shaker,120,12,>
18,hand,pizza,630,2583,<
19,mouth,guy,22,548,<
20,hat,building,587,3403,<
21,burner,microwave,40,344,<
22,cable,leaf,139,31,>
23,pocket,fence,2,112,<
24,cat,device,284,20,>
25,claw,rock,67,527,<
26,umbrella,butterfly,132,4,>
27,pot,car,50,163,<
28,field,truck,376,98,>
29,ear,shelf,10,162,<
30,car,cycle,33,98,<
31,pant,sun glass,164,28,>
32,number,flag,160,842,<
33,sticker,animal,6,125,<
34,bike,day,20,199,<
35,container,building,114,289,<
36,broccoli,meal,54,764,<
37,fruit,tree,294,730,<
38,watercraft,boat,34,97,<
39,ribbon,door,40,117,<
40,logo,train,85,1660,<
41,skirt,person,84,27,>
42,slice,design,177,51,>
43,jean,stair,72,183,<
44,fixture,shirt,178,636,<
45,jug,table,30,135,<
46,outfit,sock,170,24,>
47,field,eye,655,4,>
48,sandwich,bracelet,174,14,>
49,light,head board,8,134,<
50,handle,boat,23,295,<
51,microphone,stage,22,97,<
52,car,stain,128,54,>
53,lettering,tie,43,110,<
54,monitor,mouse,2757,94,>
55,belt,skirt,17,105,<
56,comforter,foot,107,11,>
57,piano,table,113,47,>
58,box,kite,4,101,<
59,symbol,fence,6,108,<
60,face,cat,281,975,<
61,dog nose,frisbee,24,545,<
62,letter,cap,222,635,<
63,bush,track,152,390,<
64,board,eye,305,32,>
65,juice,napkin,32,84,<
66,sheep,hoof,536,24,>
67,cable,surfer,18,98,<
68,string,surfer,34,193,<
69,hand,tablet,24,81,<
70,towel,toilet,1016,5038,<
71,cap,bike,64,494,<
72,house,ball,208,60,>
73,letter,neon,19,160,<
74,ball,goal,28,105,<
75,tan,bed,46,365,<
76,hat,letter,1559,328,>
77,beach,handle,109,20,>
78,carton,dog,28,95,<
79,handle,backpack,22,353,<
80,path,bear,120,42,>
81,refrigerator,bottle,1303,35,>
82,bottle,menu,40,228,<
83,couch,collar,163,2,>
84,beard,head,110,288,<
85,umbrella,watch,569,28,>
86,spot,bear,94,925,<
87,rock,zebra grazing,39,292,<
88,arrow,keyboard,1,252,<
89,table,ball,355,73,>
90,post,chain,211,59,>
91,smoke,wing,398,59,>
92,napkin,cat,29,125,<
93,logo,surf board,14,526,<
94,snow,tent,132,52,>
95,train,icing,80,28,>
96,cake,bird,218,61,>
97,banana,wrinkle,107,11,>
98,sheep,sheep nose,2454,30,>
99,border,number,241,24,>
100,cellphone,screen,337,88,>
101,donut,nut,373,105,>
102,handle,spatula,16,116,<
103,plane,crane,128,41,>
104,couch,pile,118,30,>
105,fence,bowl,162,24,>
106,meal,basket,95,6,>
107,bowl,platter,47,323,<
108,building,shirt,10131,2590,>
109,table,microwave,613,190,>
110,tv,leaf,329,7,>
111,wave,band,361,5,>
112,train,mouth,113,3,>
113,hat,canoe,15,235,<
114,bin,book,144,60,>
115,bed,eye,754,12,>
116,stand,bottle,102,19,>
117,pan,microwave,28,216,<
118,racket,hat,997,187,>
119,hand,arch,8,95,<
120,van,tire,1567,136,>
121,belly,tree,16,267,<
122,cat,telephone,142,28,>
123,shirt,bill,107,12,>
124,panel,leaf,186,43,>
125,elephant,bell,159,6,>
126,shrimp,broccoli,548,134,>
127,cat,television remote,78,24,>
128,book,board,193,556,<
129,banana,tattoo,117,12,>
130,sausage,tomato,159,64,>
131,beer,hat,36,103,<
132,leaf,van,273,889,<
133,apple,bottom,562,104,>
134,stripe,pant,414,1261,<
135,spot,eye,548,229,>
136,dog nose,blanket,5,330,<
137,foot,body,9,144,<
138,vase,microwave,19,94,<
139,foliage,flower,246,64,>
140,crowd,hoodie,91,14,>
141,tie,ear ring,114,2,>
142,curtain,key,280,6,>
143,bracelet,donut,0,115,<
144,apple,box,407,1000,<
145,building,slat,92,22,>
146,beer,box,145,43,>
147,machine,letter,189,10,>
148,hoodie,truck,29,79,<
149,window,fan,513,193,>
150,frame,bus,24,132,<
151,wire,design,101,43,>
152,pant,snow boarding,8,119,<
153,button,pan,12,133,<
154,truck,train,158,798,<
155,knife,basket,39,162,<
156,selfie,tie,159,2,>
157,jar,book,27,91,<
158,foot,skate board,48,127,<
159,batter,pair,524,117,>
160,beard,finger,98,23,>
161,logo,rope,4,113,<
162,bowl,slice,768,160,>
163,letter,boat,80,2867,<
164,flower,screen,30,146,<
165,button,t-shirt,38,218,<
166,blanket,pillow,6397,1839,>
167,tip,plane,58,1441,<
168,guy,backpack,683,196,>
169,donut,ring,374,60,>
170,towel,cup,564,78,>
171,utensil,window,15,129,<
172,bumper,fence,21,85,<
173,toaster,cabinet,47,474,<
174,carpet,mouse,129,12,>
175,plane,truck,2170,465,>
176,tower,light,1081,217,>
177,heel,bench,19,134,<
178,ring,frisbee,31,153,<
179,boulder,umbrella,12,91,<
180,couch,armrest,94,16,>
181,cover,bed,97,457,<
182,shoe,bracelet,199,64,>
183,clothe,sock,106,8,>
184,mask,flower,82,19,>
185,kitchen,rug,133,43,>
186,buckle,tie,0,113,<
187,meal,lettuce,163,32,>
188,stripe,hole,116,35,>
189,toilet,drawer,335,96,>
190,zebra,landscape,112,378,<
191,bracelet,animal,6,97,<
192,ball,wire,29,77,<
193,patch,umbrella,139,596,<
194,trash,toilet,191,2061,<
195,cap,screen,19,96,<
196,wildflower,tree,30,124,<
197,bag,telephone,145,35,>
198,broccoli,bottle,111,14,>
199,shoe,pole,387,1154,<
200,arm,train,40,453,<
201,sweater,wine,166,67,>
202,pole,field,139,924,<
203,sticker,graffiti,42,196,<
204,face,umbrella,68,614,<
205,pocket,sweater,15,113,<
206,foot,pant,279,942,<
207,light,field,34,286,<
208,leaf,stack,71,318,<
209,batter,netting,11,119,<
210,knob,shelf,15,373,<
211,plate,raspberry,218,31,>
212,train,backpack,1073,111,>
213,raft,mountain,25,133,<
214,tree,van,3223,1172,>
215,camera,glass,1246,489,>
216,crate,train,20,94,<
217,pot,ear,101,0,>
218,basket,fridge,4,145,<
219,bucket,object,79,22,>
220,bike,mirror,1111,132,>
221,letter,frame,50,468,<
222,kayak,helmet,189,4,>
223,plate,pen,158,33,>
224,flag,string,41,165,<
225,banana,bruise,722,32,>
226,vase,eye,161,0,>
227,screen,computer,183,563,<
228,mirror,chrome,96,33,>
229,sheep,object,197,16,>
230,fin,surfer,2,315,<
231,parrot,feather,536,119,>
232,switch,blender,4,175,<
233,racket,fence,208,667,<
234,paint,train,110,1285,<
235,bike,beard,109,19,>
236,giraffe,mirror,109,12,>
237,button,desk,43,794,<
238,racket,logo,751,74,>
239,bush,pant,641,272,>
240,button,stand,24,132,<
241,phone,tv,42,287,<
242,landscape,pair,98,17,>
243,sign,rider,44,206,<
244,scarf,hoodie,29,92,<
245,person,skirt,27,84,<
246,mousepad,mouse,203,54,>
247,cabinet,letter,189,18,>
248,couch,computer,269,52,>
249,zebra,tail,19688,928,>
250,napkin,carrot,182,68,>
251,table,ring,796,82,>
252,suit,pillow,145,18,>
253,van,step,102,40,>
254,guy,keyboard,99,16,>
255,ship,cow,91,32,>
256,couple,pair,532,92,>
257,shirt,skull,142,30,>
258,mask,pant,33,247,<
259,building,boardwalk,23,77,<
260,microphone,eye,98,13,>
261,beach,pole,468,132,>
262,office,desk,143,16,>
263,pair,tree,2142,6479,<
264,note,computer,13,142,<
265,train,balcony,225,29,>
266,house,ship,96,237,<
267,sink,bottom,417,105,>
268,jar,bag,37,222,<
269,photograph,umbrella,173,21,>
270,leg,zebra grazing,8,104,<
271,cat,camera,470,79,>
272,paint,graffiti,124,392,<
273,police,shirt,91,20,>
274,muffler,tire,25,84,<
275,day,post,141,4,>
276,base,umpire,99,597,<
277,object,giraffe,30,443,<
278,tree,friend,39,129,<
279,mouth,tree,86,1663,<
280,banana,desk,14,89,<
281,stem,window,48,166,<
282,plate,roll,425,156,>
283,hand,tree,1024,5083,<
284,table,strawberry,397,108,>
285,dock,bird,309,52,>
286,jet,star,97,15,>
287,animal,snout,211,15,>
288,lettering,skier,11,140,<
289,wheel,tarp,25,120,<
290,telephone,carpet,8,116,<
291,pizza,towel,303,23,>
292,liquid,bowl,115,421,<
293,petal,plant,20,236,<
294,bottle,logo,241,49,>
295,center,vase,119,592,<
296,jean,patch,179,55,>
297,skirt,sneaker,139,58,>
298,pot,carrot,572,145,>
299,lettering,bolt,133,11,>
300,couch,ball,204,9,>
301,stripe,cat nose,162,3,>
302,handle,tub,10,269,<
