,o1,o2,>,<,typical
0,cherry tomato,pizza crust,47,146,<
1,horse head,part,333,80,>
2,deck bus,double-decker bus,114,118,">,<"
3,surfboard riding wave,focus tree,123,52,>
4,speed train,gravel,849,220,>
5,animal ear,zebra neck,16,245,<
6,bus door,train station building,19,103,<
7,traffic light,speed limit sign,124,19,>
8,collard shirt,mouth,180,16,>
9,traffic sign,paint,72,32,">,<"
10,lunch tray,napkin,118,15,>
11,paper plate,soda cup,120,26,>
12,restaurant table,watch,98,9,>
13,street bike,fron tire,106,13,>
14,weed,fence,42,78,">,<"
15,hand,racket,32,154,<
16,tree trunk,pathway,38,122,<
17,iron leaf,market umbrella,20,182,<
18,tree,skate board,108,43,>
19,person head,plaid shirt,9,147,<
20,plane body,propeller plane,41,201,<
21,bus,passenger bus,173,385,">,<"
22,grass cow,hoof,186,4,>
23,pizza cheese,pizza pan,82,306,<
24,pant skier,ski boot,336,18,>
25,tomato,toothpick,82,35,>
26,horse,horse body,231,75,>
27,towel,bathroom cabinet,45,137,<
28,pillow,backpack,87,202,">,<"
29,food plate,breakfast table,102,307,<
30,bark,leaf,84,77,">,<"
31,jean,horse,144,633,<
32,tree trunk,park,47,191,<
33,skating helmet,skateboard trick,2,108,<
34,pile,food container,88,66,">,<"
35,detour sign,street light,87,38,">,<"
36,apple mouse,printer,4,119,<
37,clock face number,wood,19,197,<
38,cop car,car headlight,106,3,>
39,elephant truck,cow,111,86,">,<"
40,pepper shaker,soup bowl,0,113,<
41,roller suitcase,suitcase handle,403,15,>
42,zebra,zebra belly,220,26,>
43,mac keyboard,chair cat,31,133,<
44,newspaper,street bench,48,249,<
45,field,grizzly bear,164,26,>
46,palm tree,palm,468,152,>
47,group,dozen donut,331,59,>
48,emergency truck,emergency vehicle,59,70,">,<"
49,car,street sign pole,95,125,">,<"
50,sunglass,onion ring,83,21,>
51,story window,university building,6,116,<
52,chicken,breast feather,208,77,>
53,toilet top,toilet bowl,29,120,<
54,sheep leg,bear,12,93,<
55,knife,wood cutting board,28,74,<
56,tile,oven window,41,59,">,<"
57,bunch,rose,49,119,<
58,foot print,beach,60,196,<
59,tennis spectator,tennis sneaker,86,16,>
60,teaspoon,bread plate,33,142,<
61,laptop computer,group,45,121,<
62,tree trunk,flower,715,342,">,<"
63,neck,water bird,17,127,<
64,train station,rail train,223,245,">,<"
65,house plant,wall clock,73,37,">,<"
66,lunch plate,broccoli piece,372,26,>
67,hand soap bottle,bathroom sink,0,102,<
68,foot stool,pillow,64,42,">,<"
69,shirt collar,necktie,38,95,<
70,magazine,pillow,79,207,<
71,house roof,bush,79,67,">,<"
72,top,street car,46,59,">,<"
73,sunglass,iron leaf,92,61,">,<"
74,mother cow,hoof,111,0,>
75,group,silk flower,170,32,>
76,house cat,air front,96,136,">,<"
77,zebra,car,313,177,">,<"
78,herd animal,grass bunch,58,73,">,<"
79,water bear,moss,122,19,>
80,grass edge,tree trunk,67,71,">,<"
81,kitchen,kitchen knife,146,4,>
82,oak tree,row window,121,2,>
83,street bike,part,116,15,>
84,laptop computer,desk top,152,58,>
85,sleeve shirt,group,21,242,<
86,grass elephant,dirt,591,163,>
87,wheel skateboard,skate board wheel,368,37,>
88,leg,surfboard riding wave,10,460,<
89,knee pad,skateboarding shoe,125,95,">,<"
90,paddle boat,tree,45,135,<
91,propeller plane,desert plane,41,59,">,<"
92,clydesdale horse,horse pulling carriage,81,53,">,<"
93,kitchen towel,kitchen stove,9,199,<
94,glass,broccoli top,52,53,">,<"
95,grass patch,cow eye,112,6,>
96,motorcycle police officer,police patrol motorcycle,53,84,">,<"
97,snowboard jacket,glove skier,28,96,<
98,fence,dairy cow,227,232,">,<"
99,controll button,jean,18,114,<
100,baseball catcher,baseball spectator,123,199,">,<"
101,giraffe tail,dirt,22,265,<
102,commode,towel,82,20,>
103,pair,skateboard guy,89,412,<
104,refrigerator,kitchen cabinet,391,193,">,<"
105,lunch truck,bus mirror,114,4,>
106,bathroom toilet,toilet tank lid,101,8,>
107,grass patch,sheep leg,138,98,">,<"
108,snowsuit,child ski,58,50,">,<"
109,stripe,player hand,70,70,">,<"
110,bush branch,dog,36,119,<
111,train track,box car,157,34,>
112,bear,shrub,118,54,">,<"
113,lettuce,egg,54,60,">,<"
114,person finger,dog,0,105,<
115,platform,track,71,111,">,<"
116,board surfer,pair,205,24,>
117,glass window,pair,85,329,<
118,ram,sheep fur,131,24,>
119,tennis outfit,tennis court,125,413,<
120,truck window,airport truck,23,208,<
121,leg pad,nike shirt,15,91,<
122,stack,breakfast table,37,124,<
123,pine tree,snowboard jacket,335,165,">,<"
124,bird house,bird,111,31,>
125,woman head,surfboard,4,361,<
126,toilet,tuxedo cat,48,64,">,<"
127,bed sheet,cat,312,396,">,<"
128,part,stone building,7,169,<
129,coffee mug,egg,69,105,">,<"
130,couch,controll button,224,7,>
131,wine,jacket,53,67,">,<"
132,zebras eye,zebras face,1,179,<
133,baseball player number,baseball spectator,14,274,<
134,roof,town car,144,135,">,<"
135,soccer,soccer ball,2369,125,>
136,umpire uniform,home plate umpire,198,147,">,<"
137,egg,lunch plate,86,216,<
138,person arm,dirt,43,127,<
139,metal,fork,80,51,">,<"
140,decker bus,bus headlight,1186,5,>
141,pie plate,bird,37,72,">,<"
142,cabinet,cabinet door,299,113,>
143,tail section,tuxedo cat,13,113,<
144,glove catcher,pair,205,120,">,<"
145,powder snow,coat skiing,88,250,<
146,tail tip,sea bird,5,167,<
147,baseball field,field front,101,41,>
148,table cloth,cheese pizza,21,92,<
149,pontoon boat,boat seat,88,14,>
150,herd,cattle,79,55,">,<"
151,person arm,tie,81,77,">,<"
152,skiing glove,snow track,18,259,<
153,truck headlight,bush tree,8,95,<
154,desk,desk light,104,21,>
155,pair ski,spruce tree,186,142,">,<"
156,blackberry phone,controll button,690,16,>
157,rock,surfing wave,54,77,">,<"
158,navel orange,broccoli top,91,60,">,<"
159,couch cushion,couch,85,645,<
160,tower clock,round clock,156,120,">,<"
161,couch arm,hazel eye,305,11,>
162,spruce tree,bush tree,53,51,">,<"
163,ziplock bag,airport light,116,1,>
164,pastry,dessert,60,105,">,<"
165,bathroom toilet,faucet,815,20,>
166,ear,beard,25,378,<
167,egg,plate top,94,96,">,<"
168,graffiti,skateboard skater,96,124,">,<"
169,suitcase,decker train,13,105,<
170,window brick building,glass window,176,3,>
171,shade tree,fire hydrant,486,68,>
172,toilet flush handle,toilet lid,4,212,<
173,jelly doughnut,doughnut hole,115,6,>
174,part,giraffe neck,73,438,<
175,police horse,maple leaf,93,19,>
176,landing wheel,plane wheel,103,93,">,<"
177,flower leaf,part,73,32,">,<"
178,police patrol motorcycle,crowd,75,80,">,<"
179,chain,building window,84,19,>
180,skateboard shadow,nike shirt,208,166,">,<"
181,fish,fish eye,136,1,>
182,building front,store sign,54,46,">,<"
183,desk calendar,computer monitor,4,105,<
184,bottom,water bear,53,103,">,<"
185,jean,pole top,78,57,">,<"
186,rail train,leaf,152,3,>
187,bicycle,bicycle rack,91,43,">,<"
188,grass cow,mother cow,199,177,">,<"
189,bicycle basket,market umbrella,3,154,<
190,biker,bike helmet,161,18,>
191,downhill ski,skier,72,78,">,<"
192,kitchen table,baby shirt,70,61,">,<"
193,shoe,dress shirt,28,204,<
194,sandwich slice,tuna sandwich,28,122,<
195,wood park bench,picnic bench,115,150,">,<"
196,crystal glass,couple,6,206,<
197,stripe shirt,ear,211,4,>
198,bus,transportation vehicle,101,105,">,<"
199,rock,bird eye,253,0,>
200,horse hoof,girl riding horse,0,192,<
201,tower clock,spire,32,144,<
202,sea bird,bird reflection,326,274,">,<"
203,surf board,beach wave,65,125,">,<"
204,person finger,market umbrella,0,118,<
205,grass patch,soccer shirt,39,97,<
206,plenty fruit,fruit slice,115,32,>
207,ski pant,ski glove,312,35,>
208,leg,pant,40,83,">,<"
209,polo shirt,earring,147,9,>
210,skateboarder,skateboarding helmet,396,30,>
211,spinach pizza,spatula handle,104,6,>
212,snow hill,snowboard,172,36,>
213,head board,hotel bed,33,168,<
214,pepperoni,sausage,51,68,">,<"
215,baseball uniform shirt,base ball glove,168,33,>
216,dog,water bear,53,63,">,<"
217,person hand,pizza slice,20,111,<
