,o1,o2,>,<,typical
0,train front,amtrak train,227,1972,<
1,tomato slice,freezer part,111,23,>
2,game controller,video game,45,455,<
3,soccer ball,soccer jersey,116,330,<
4,police motorcycle,balloon,152,5,>
5,animal ear,orange,14,114,<
6,pole top,palm tree,41,114,<
7,plane nose,air canada plane,20,411,<
8,frisbee,metal fence,86,214,<
9,cop car,tree,112,309,<
10,fur,water body,30,131,<
11,dinner plate,freezer part,176,3,>
12,kitten,controll button,116,2,>
13,stripe bullet train,train window,708,36,>
14,glass cake plate,food plate,19,103,<
15,orang ball,tennis,35,164,<
16,desk,glass part,95,7,>
17,ski shoe,ski coat,27,140,<
18,grass field,plane kite,102,35,>
19,table food,steak knife,100,19,>
20,vase,bush branch,15,85,<
21,bus wheel,bus,101,1696,<
22,delta airline plane,part,139,11,>
23,porcelain pedestal sink,faucet,498,7,>
24,tower clock,brow tree,24,190,<
25,player foot,home plate umpire,4,156,<
26,flower,bedspread,4,130,<
27,lettuce,sandwich half,38,320,<
28,jet window,airline plane,5,220,<
29,group,stone,266,64,>
30,purse,brick building,16,158,<
31,snow,ski cap,201,35,>
32,water body,lady head,286,3,>
33,finger food,crust edge,226,21,>
34,laptop mouse,chair cat,9,180,<
35,apartment building,van,96,23,>
36,hazel eye,guy,0,102,<
37,cow eye,cow tail,4,96,<
38,dog,dirt patch,152,54,>
39,baseball player,softball player,197,69,>
40,car,car mirror,93,21,>
41,camera,adult elephant,28,97,<
42,tree trunk,skateboard wheel,159,13,>
43,tile,shag rug,34,96,<
44,landing wheel,asphalt runway,3,169,<
45,string,cow,24,76,<
46,flag,road side,43,142,<
47,giraffe foot,mom giraffe,9,225,<
48,sheep head,baby lamb,13,105,<
49,metal pole,palm tree,50,184,<
50,bay horse,person arm,178,4,>
51,cabinet door,blind,22,82,<
52,grove tree,part,295,30,>
53,wave crest,surfer arm,169,9,>
54,letter,shuttle bus,0,120,<
55,elephant leg,tree,15,142,<
56,glass window,parking stripe,10,136,<
57,fire hydrant,metal flower,112,3,>
58,cushion,chair cat,68,164,<
59,street sign,highway bridge,33,103,<
60,pizza top,basil leaf,141,37,>
61,pair,zipper,148,11,>
62,book,length mirror,7,141,<
63,pair,chair cat,116,555,<
64,hand,tree,35,161,<
65,stripe,airway plane,32,102,<
66,grass field,horse tail,154,14,>
67,salt shaker,glass,13,120,<
68,train platform,train light,154,22,>
69,hazel eye,wood,4,148,<
