o1,o2,>,=,<,scene,freq,typical
air vent,sash-pane,120,0,0,bedroom,120,>
arm-arm panel,arm-inside arm,23,258,129,living_room,410,"=,<"
arm-arm panel,arm-outside arm,62,74,0,living_room,136,">,="
arm-arm panel,armchair,0,89,35,living_room,124,=
arm-arm panel,armchair-arm,19,136,44,living_room,199,=
arm-arm panel,ceiling,0,0,209,living_room,209,<
arm-arm panel,curtain,0,0,190,living_room,190,<
arm-arm panel,cushion,10,179,317,living_room,506,"=,<"
arm-arm panel,picture,0,0,313,living_room,313,<
arm-arm panel,wall,0,17,533,living_room,550,<
arm-arm panel,window,0,0,320,living_room,320,<
arm-arm panel,window-pane,0,0,168,living_room,168,<
arm-inside arm,arm-arm panel,129,258,23,living_room,410,">,="
arm-inside arm,arm-outside arm,415,328,20,living_room,763,">,="
arm-inside arm,armchair,23,431,153,living_room,607,=
arm-inside arm,armchair-arm,154,653,171,living_room,978,=
arm-inside arm,armchair-back,15,108,188,living_room,311,"=,<"
arm-inside arm,armchair-back pillow,0,89,181,living_room,270,"=,<"
arm-inside arm,armchair-leg,427,29,13,living_room,469,>
arm-inside arm,armchair-seat base,217,45,13,living_room,275,>
arm-inside arm,armchair-seat cushion,165,213,36,living_room,414,">,="
arm-inside arm,cabinet,14,129,256,living_room,399,"=,<"
arm-inside arm,cabinet-door,11,54,160,living_room,225,<
arm-inside arm,candle holder,15,51,130,living_room,196,<
arm-inside arm,ceiling,0,0,575,living_room,575,<
arm-inside arm,ceiling recessed light,0,0,669,living_room,669,<
arm-inside arm,ceiling recessed light-aperture,0,0,148,living_room,148,<
arm-inside arm,ceiling recessed light-light source,0,0,386,living_room,386,<
arm-inside arm,coffee table-leg,272,26,0,living_room,298,>
arm-inside arm,curtain,0,0,544,living_room,544,<
arm-inside arm,cushion,78,674,680,living_room,1432,"=,<"
arm-inside arm,door,0,11,234,living_room,245,<
arm-inside arm,door-knob,13,0,142,living_room,155,<
arm-inside arm,floor,205,293,35,living_room,533,">,="
arm-inside arm,flowers,0,34,156,living_room,190,<
arm-inside arm,picture,0,35,1029,living_room,1064,<
arm-inside arm,picture-frame,0,0,120,living_room,120,<
arm-inside arm,plant,0,63,358,living_room,421,<
arm-inside arm,shelves-shelf,0,0,196,living_room,196,<
arm-inside arm,side table,105,269,123,living_room,497,">,=,<"
arm-inside arm,sofa,0,420,151,living_room,571,=
arm-inside arm,sofa-arm,112,727,168,living_room,1007,=
arm-inside arm,sofa-back pillow,26,337,692,living_room,1055,"=,<"
arm-inside arm,sofa-seat cushion,482,507,116,living_room,1105,">,="
arm-inside arm,table lamp,0,16,404,living_room,420,<
arm-inside arm,table lamp-base,21,51,126,living_room,198,<
arm-inside arm,table lamp-column,0,16,290,living_room,306,<
arm-inside arm,table lamp-highlight,0,0,189,living_room,189,<
arm-inside arm,table lamp-light source,0,0,154,living_room,154,<
arm-inside arm,table lamp-shade,0,0,331,living_room,331,<
arm-inside arm,television,0,24,86,living_room,110,<
arm-inside arm,vase,36,82,212,living_room,330,<
arm-inside arm,wall,0,100,1557,living_room,1657,<
arm-inside arm,window,0,0,956,living_room,956,<
arm-inside arm,window-pane,0,0,527,living_room,527,<
arm-outside arm,arm-arm panel,0,74,62,living_room,136,"=,<"
arm-outside arm,arm-inside arm,20,328,415,living_room,763,"=,<"
arm-outside arm,armchair,0,176,251,living_room,427,"=,<"
arm-outside arm,armchair-arm,28,325,308,living_room,661,"=,<"
arm-outside arm,armchair-back,0,42,175,living_room,217,<
arm-outside arm,armchair-back pillow,0,28,164,living_room,192,<
arm-outside arm,armchair-leg,260,51,21,living_room,332,>
arm-outside arm,armchair-seat base,57,110,16,living_room,183,">,="
arm-outside arm,armchair-seat cushion,23,161,95,living_room,279,"=,<"
arm-outside arm,ceiling,0,0,297,living_room,297,<
arm-outside arm,ceiling recessed light,0,0,396,living_room,396,<
arm-outside arm,ceiling recessed light-light source,0,0,251,living_room,251,<
arm-outside arm,curtain,0,0,319,living_room,319,<
arm-outside arm,cushion,0,121,744,living_room,865,<
arm-outside arm,door,0,0,124,living_room,124,<
arm-outside arm,floor,35,237,52,living_room,324,=
arm-outside arm,picture,0,0,593,living_room,593,<
arm-outside arm,side table,12,149,130,living_room,291,"=,<"
arm-outside arm,sofa,0,105,254,living_room,359,<
arm-outside arm,sofa-arm,19,264,286,living_room,569,"=,<"
arm-outside arm,sofa-back,0,26,99,living_room,125,<
arm-outside arm,sofa-back pillow,0,32,526,living_room,558,<
arm-outside arm,sofa-seat cushion,55,259,273,living_room,587,"=,<"
arm-outside arm,table lamp,0,0,218,living_room,218,<
arm-outside arm,table lamp-base,0,19,89,living_room,108,<
arm-outside arm,table lamp-column,0,0,163,living_room,163,<
arm-outside arm,table lamp-highlight,0,0,115,living_room,115,<
arm-outside arm,table lamp-shade,0,0,185,living_room,185,<
arm-outside arm,wall,0,13,838,living_room,851,<
arm-outside arm,window,0,0,503,living_room,503,<
arm-outside arm,window-pane,0,0,264,living_room,264,<
armchair,arm-arm panel,35,89,0,living_room,124,=
armchair,arm-inside arm,153,431,23,living_room,607,=
armchair,arm-outside arm,251,176,0,living_room,427,">,="
